,카테고리,제목,청원종료일,참여인원,URL
818,보건복지,지역아동센터를 살려주세요!!!!!,2019-01-10,"24,193",https://www1.president.go.kr/petitions/466951
819,기타,실종된 조군에 대한 효율적이고 신속한 수사 촉구.,2018-12-13,"24,183",https://www1.president.go.kr/petitions/440424
820,안전/환경,친부에 의한 아동 성폭력 피해자입니다.,2020-01-01,"24,179",https://www1.president.go.kr/petitions/583843
821,행정,"법무부 장관은 채널A 검언유착 의혹 및 한명숙 전 장관 수사 의혹, 그리고 검찰총장의 감찰차단 행위를 즉각 감찰 착수해주십시오",2020-07-19,"24,163",https://www1.president.go.kr/petitions/589840
822,행정,KBS방송국 해체,2019-06-08,"24,138",https://www1.president.go.kr/petitions/580081
823,일자리,모든 사업자의 2020년 상반기 부가가치세를 감면하여 주십시요!!!!,2020-04-11,"24,130",https://www1.president.go.kr/petitions/586599
824,안전/환경,제발 70대이상 고령운전자의 자격요건을 강화해 주세요ㅠ,2019-09-20,"24,127",https://www1.president.go.kr/petitions/582186
825,일자리,IT서비스업 52시간 특례지정을 반대합니다,2018-05-17,"24,097",https://www1.president.go.kr/petitions/202788
826,인권/성평등,n번방 운영자인 켈리와 로리대장태범을 제대로 심판하고 포토라인에 세워주세요.,2020-04-25,"24,083",https://www1.president.go.kr/petitions/587198
827,행정,신천지교인생활비지원이 아닌 대구시민을 봐주십시오,2020-03-26,"24,073",https://www1.president.go.kr/petitions/585601
828,보건복지,대학병원 새벽 레지던트 오진으로 인한 분만사고,2018-01-18,"24,000",https://www1.president.go.kr/petitions/69796
829,인권/성평등,서지현 검사에게 성추행한 안태근 검사와 사건을 알고도 덮어버린 최모 당시 검찰국장 처벌해주세요.,2018-02-28,"23,972",https://www1.president.go.kr/petitions/120883
830,인권/성평등,再) 효과적인 성매매근절을 위하여 포주와 성구매자만 처벌하는 노르딕 모델을 도입해주세요,2018-06-01,"23,909",https://www1.president.go.kr/petitions/219366
831,기타,편히 눈감게해주세요,2020-01-09,"23,901",https://www1.president.go.kr/petitions/583972
832,정치개혁,“윤석열 검찰총장은 아래의 질문들에 대해 국민앞에서 직접 답변해줄 것을 촉구합니다!”,2019-10-04,"23,891",https://www1.president.go.kr/petitions/582482
